track_id,valid_flying_track,confirmed,active_at_end,lifetime_frames,first_frame,last_frame,frame_span,start_cx,start_cy,end_cx,end_cy,path_length_px,net_displacement_px,mean_speed_px_frame,max_step_speed_px_frame,directionality
321,1,1,0,217,244,468,224,1014.0,528.5,929.817,490.017,428.207,92.562,1.912,34.394,0.2162
368,1,1,1,146,344,494,150,677.521,455.979,907.27,451.568,892.843,229.792,5.952,58.422,0.2574
45,1,1,0,133,18,155,137,911.975,555.38,958.0,527.5,111.506,53.811,0.814,16.306,0.4826
353,1,1,0,118,311,432,121,679.698,437.177,1130.815,491.963,765.869,454.431,6.329,78.351,0.5934
58,1,1,0,117,31,156,125,1118.217,568.739,963.116,525.203,991.927,161.096,7.935,53.197,0.1624
272,1,1,0,115,228,348,120,991.48,471.34,513.935,930.118,874.397,662.213,7.287,38.17,0.7573
389,1,1,1,110,379,494,115,942.667,341.333,689.651,463.651,431.31,281.031,3.751,17.523,0.6516
390,1,1,1,108,379,494,115,1003.304,518.043,966.77,537.291,183.841,41.295,1.599,20.059,0.2246
395,1,1,1,105,383,494,111,938.5,728.5,883.603,634.69,613.027,108.692,5.523,30.057,0.1773
27,1,1,0,102,0,108,108,1358.071,829.0,1080.0,509.25,1011.036,423.75,9.361,61.32,0.4191
269,1,1,0,101,228,334,106,671.615,456.769,957.286,526.429,398.844,294.041,3.763,24.374,0.7372
72,1,1,0,98,48,156,108,1118.698,514.593,891.0,621.292,802.483,251.458,7.43,52.343,0.3133
4,1,1,0,96,0,95,95,1104.627,416.597,836.841,153.841,430.294,375.167,4.529,82.138,0.8719
411,1,1,1,96,399,494,95,16.719,585.271,903.5,431.15,970.232,900.074,10.213,51.816,0.9277
302,1,1,0,94,229,330,101,1078.727,571.636,651.237,935.102,683.975,561.119,6.772,48.445,0.8204
17,1,1,0,89,0,89,89,955.709,521.815,1124.292,468.792,665.962,176.725,7.483,37.876,0.2654
349,1,1,0,88,301,392,91,719.0,462.5,1102.158,535.105,631.268,389.976,6.937,79.98,0.6178
357,1,1,0,85,324,414,90,695.023,568.814,338.629,914.848,775.051,496.746,8.612,45.068,0.6409
429,1,1,1,77,417,494,77,7.416,667.908,879.583,560.427,1041.177,878.765,13.522,83.858,0.844
50,1,1,0,73,24,106,82,259.0,620.0,323.744,617.885,106.699,64.778,1.301,27.209,0.6071
51,1,1,0,73,24,103,79,265.5,620.0,227.888,620.872,238.321,37.622,3.017,35.998,0.1579
431,1,1,1,69,419,494,75,935.5,468.0,744.548,451.613,544.366,191.653,7.258,42.932,0.3521
10,1,1,0,65,0,75,75,808.333,440.333,883.5,424.5,123.379,76.816,1.645,21.869,0.6226
267,1,1,0,61,228,298,70,676.75,448.25,934.205,525.462,320.51,268.784,4.579,18.086,0.8386
107,1,1,0,60,91,156,65,680.5,452.0,887.033,532.293,299.327,221.591,4.605,26.79,0.7403
66,1,1,0,58,38,95,57,265.5,620.0,211.364,621.509,54.16,54.157,0.95,26.326,0.9999
436,1,1,1,55,431,494,63,340.806,751.306,1041.041,618.816,746.892,712.659,11.855,65.499,0.9542
377,1,1,0,54,355,408,53,662.083,490.458,651.2,546.4,102.501,56.99,1.934,42.582,0.556
397,1,1,0,54,385,438,53,720.367,684.033,633.733,936.533,590.061,266.949,11.133,41.728,0.4524
438,1,1,1,54,441,494,53,1127.345,520.397,749.957,536.085,528.082,377.713,9.964,89.128,0.7153
114,1,1,0,53,96,156,60,688.05,475.06,779.0,466.0,290.959,91.4,4.849,41.961,0.3141
26,1,1,0,51,0,53,53,841.538,641.849,752.0,526.071,316.496,146.361,5.972,23.629,0.4624
59,1,1,0,50,31,82,51,101.12,623.82,211.364,621.509,328.66,110.268,6.444,67.153,0.3355
71,1,1,0,50,46,100,54,1129.308,464.0,966.875,431.833,169.714,165.587,3.143,18.168,0.9757
319,1,1,0,50,244,298,54,1056.871,471.29,1134.214,485.071,88.628,78.561,1.641,8.136,0.8864
437,1,1,1,50,437,491,54,465.319,878.5,905.222,695.852,486.907,476.314,9.017,44.605,0.9782
77,1,1,0,49,59,108,49,666.994,558.975,661.0,467.5,354.638,91.671,7.238,57.918,0.2585
356,1,1,0,49,324,378,54,689.105,482.253,815.0,448.5,222.695,130.341,4.124,18.978,0.5853
362,1,1,0,49,327,378,51,960.0,556.5,170.396,709.0,859.427,804.196,16.852,81.64,0.9357
69,1,1,0,48,44,93,49,367.862,550.76,121.343,764.856,987.919,326.51,20.162,70.535,0.3305
439,1,1,1,48,443,494,51,1126.083,495.583,1122.242,435.053,74.944,60.652,1.469,11.937,0.8093
441,1,1,1,48,445,494,49,951.0,537.0,1032.727,426.5,335.231,137.439,6.841,27.87,0.41
3,1,1,0,47,0,58,58,1330.441,337.245,842.049,620.646,832.205,564.662,14.348,71.812,0.6785
375,1,1,0,47,354,406,52,719.5,460.5,670.736,523.566,270.304,79.72,5.198,43.937,0.2949
14,1,1,0,46,0,45,45,832.978,500.591,678.738,489.131,167.138,154.666,3.714,22.444,0.9254
122,1,1,0,46,104,156,52,787.849,518.42,1040.57,518.837,459.912,252.721,8.844,38.777,0.5495
347,1,1,0,46,299,344,45,744.094,455.031,1116.814,436.302,377.007,373.19,8.378,30.698,0.9899
363,1,1,0,46,329,378,49,505.192,658.311,792.222,689.722,656.56,288.744,13.399,67.171,0.4398
418,1,1,0,46,403,448,45,534.888,587.351,862.547,880.553,648.827,439.69,14.418,56.23,0.6777
367,1,1,0,45,341,385,44,669.969,495.594,894.5,517.0,407.369,225.549,9.258,69.71,0.5537
116,1,1,0,44,98,156,58,660.19,481.762,587.574,576.678,348.955,119.508,6.016,47.817,0.3425
354,1,1,0,44,311,354,43,705.735,526.574,919.0,450.5,375.739,226.427,8.738,66.677,0.6026
371,1,1,0,44,351,394,43,923.5,479.5,1114.872,452.615,269.531,193.251,6.268,65.412,0.717
442,1,1,0,44,445,489,44,677.5,577.0,954.192,537.615,382.081,279.481,8.684,36.243,0.7315
124,1,1,0,43,104,151,47,1195.573,758.5,886.667,685.556,652.039,317.402,13.873,88.752,0.4868
129,1,1,0,43,109,156,47,944.185,458.963,1042.14,558.9,400.203,139.938,8.515,39.729,0.3497
118,1,1,0,41,99,141,42,730.157,523.87,797.136,498.383,139.245,71.664,3.315,19.432,0.5147
126,1,1,0,40,105,151,46,14.5,625.0,247.0,620.0,319.383,232.554,6.943,74.046,0.7281
54,1,1,0,39,26,67,41,991.976,540.566,1032.731,474.0,342.303,78.051,8.349,72.045,0.228
374,1,1,0,39,353,391,38,792.13,468.304,895.0,415.0,135.674,115.86,3.57,14.842,0.854
82,1,1,0,38,65,106,41,69.5,624.0,119.611,622.905,65.607,50.122,1.6,9.529,0.764
361,1,1,0,37,327,368,41,669.381,509.952,790.489,491.7,191.423,122.476,4.669,21.163,0.6398
446,1,1,1,37,454,494,40,1121.479,488.833,933.741,446.63,355.677,192.424,8.892,84.102,0.541
8,1,1,0,36,0,45,45,781.963,441.407,727.8,447.8,60.172,54.539,1.337,11.505,0.9064
90,1,1,0,36,74,109,35,873.429,463.633,671.493,396.438,232.394,212.821,6.64,26.938,0.9158
447,1,1,1,36,454,494,40,1141.667,518.222,1154.643,566.524,60.309,50.014,1.508,14.251,0.8293
450,1,1,1,36,458,494,36,1156.0,558.5,1164.7,585.067,93.109,27.955,2.586,50.915,0.3002
47,1,1,0,35,19,62,43,61.0,624.0,86.5,624.0,79.017,25.5,1.838,50.732,0.3227
407,1,1,0,35,397,436,39,655.0,541.5,662.231,511.262,163.077,31.091,4.181,42.119,0.1907
127,1,1,0,34,109,142,33,941.826,431.13,785.0,444.75,161.373,157.416,4.89,38.013,0.9755
136,1,1,0,34,119,156,37,1112.6,371.4,877.126,375.77,238.478,235.514,6.445,24.234,0.9876
109,1,1,0,33,92,128,36,1009.033,537.133,1104.2,528.967,195.134,95.516,5.42,19.482,0.4895
74,1,1,0,32,48,83,35,452.651,791.434,665.437,593.401,559.647,290.68,15.99,73.55,0.5194
137,1,1,0,32,121,156,35,898.5,457.0,899.687,511.659,233.112,54.672,6.66,45.139,0.2345
138,1,1,0,32,121,156,35,759.58,585.672,885.481,407.779,248.972,217.939,7.113,32.6,0.8754
408,1,1,0,30,397,426,29,442.33,637.689,10.343,733.881,465.616,442.567,16.056,88.086,0.9505
453,1,1,1,30,465,494,29,673.393,506.393,892.578,457.953,235.024,224.474,8.104,27.717,0.9551
133,1,1,0,29,116,156,40,797.5,443.0,820.449,440.653,132.1,23.069,3.303,22.251,0.1746
134,1,1,0,29,118,156,38,1132.529,527.314,959.0,536.25,281.358,173.759,7.404,60.286,0.6176
364,1,1,0,28,331,358,27,806.188,502.0,950.242,488.727,163.582,144.665,6.059,19.644,0.8844
297,1,1,0,27,228,260,32,411.693,690.316,517.756,930.808,381.237,262.842,11.914,43.279,0.6894
370,1,1,0,26,349,376,27,1136.0,561.446,981.067,702.633,210.507,209.614,7.797,26.989,0.9958
388,1,1,0,26,374,410,36,802.142,453.254,610.333,567.333,367.552,223.17,10.21,43.11,0.6072
396,1,1,0,26,385,410,25,548.226,571.894,469.2,621.2,122.168,93.146,4.887,36.821,0.7624
451,1,1,1,26,462,493,31,1129.0,457.5,1159.333,553.667,187.341,100.837,6.043,23.214,0.5383
53,1,1,0,25,24,53,29,3.474,625.684,134.868,622.993,333.789,131.421,11.51,70.468,0.3937
94,1,1,0,25,74,105,31,95.0,624.0,10.667,625.333,85.377,84.344,2.754,27.755,0.9879
146,1,1,0,24,129,156,27,682.37,592.231,824.5,503.0,168.361,167.819,6.236,16.412,0.9968
270,1,1,0,24,228,257,29,1035.393,463.0,1001.4,496.8,249.758,47.937,8.612,37.206,0.1919
279,1,1,0,24,228,257,29,1010.952,522.349,992.125,499.9,38.672,29.299,1.334,27.407,0.7576
317,1,1,0,24,244,271,27,1053.459,414.081,1117.375,429.286,67.712,65.699,2.508,7.787,0.9703
379,1,1,0,24,357,385,28,662.0,530.5,662.0,467.5,230.606,63.0,8.236,75.002,0.2732
417,1,1,0,24,403,426,23,908.989,523.552,677.088,480.761,245.786,235.815,10.686,40.106,0.9594
420,1,1,0,24,407,430,23,966.5,439.25,1116.772,453.667,153.494,150.962,6.674,28.435,0.9835
13,1,1,0,23,0,25,25,720.567,494.45,659.316,474.842,70.073,64.313,2.803,24.164,0.9178
132,1,1,0,22,116,144,28,792.5,443.0,662.0,524.5,189.005,153.859,6.75,59.37,0.814
144,1,1,0,22,129,156,27,673.519,397.148,738.846,464.077,172.417,93.526,6.386,15.141,0.5424
433,1,1,0,22,425,448,23,661.667,465.333,357.699,627.16,352.611,344.36,15.331,46.387,0.9766
42,1,1,0,21,13,33,20,1271.96,749.876,1256.675,599.503,171.579,151.148,8.579,27.852,0.8809
145,1,1,0,21,129,155,26,705.125,486.891,802.312,442.938,154.096,106.664,5.927,38.077,0.6922
292,1,1,0,21,228,254,26,462.667,615.333,543.0,600.5,82.559,81.691,3.175,78.364,0.9895
