frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
0,0.0,1,507,1,0,944.478,317.685,935,311,21,15,184,1.0,94.636,185.0,136.218,15.329,0.269,4.253,0.1125,506
0,0.0,2,507,1,0,996.752,319.128,990,314,16,11,117,1.0,122.547,223.0,103.209,12.365,0.204,2.49,0.1198,506
0,0.0,3,63,1,1,1330.535,337.074,1319,331,25,14,217,1.0,113.608,236.0,869.389,328.438,12.976,71.865,0.3778,67
0,0.0,4,14,1,0,1105.625,414.75,1104,414,4,3,8,0.2833,31.375,34.0,2.513,2.226,0.193,1.572,0.8857,13
0,0.0,5,52,1,1,717.273,451.013,712,447,12,8,77,1.0,81.792,194.0,217.553,181.251,3.956,102.165,0.8331,55
0,0.0,6,13,1,1,719.585,494.317,716,492,8,6,41,0.5417,48.927,65.0,138.618,115.966,8.664,24.701,0.8366,16
0,0.0,7,64,1,1,833.028,500.732,829,496,9,10,71,1.0,87.972,181.0,259.16,191.855,4.114,39.761,0.7403,63
0,0.0,8,18,1,1,661.667,515.333,661,515,2,2,3,0.25,30.0,30.0,18.288,16.847,1.076,17.18,0.9212,17
0,0.0,9,259,1,0,1007.217,517.641,1001,514,14,9,92,0.9917,73.348,119.0,165.127,52.174,0.635,19.317,0.316,260
0,0.0,10,158,1,0,956.254,521.153,951,516,13,16,118,1.0,68.949,136.0,60.61,4.872,0.379,3.947,0.0804,160
0,0.0,11,3,1,1,1122.925,521.175,1119,519,8,6,40,0.825,64.125,99.0,158.704,141.958,39.676,71.648,0.8945,4
0,0.0,12,28,1,0,650.607,542.938,636,528,26,24,112,0.3083,32.67,37.0,27.507,5.425,1.019,7.066,0.1972,27
0,0.0,13,90,1,1,832.318,547.818,826,545,13,7,66,0.725,53.045,87.0,548.85,173.581,6.031,30.89,0.3163,91
0,0.0,14,4,1,0,632.4,552.2,631,552,4,2,5,0.2583,30.6,31.0,0.0,0.0,0.0,0.0,0.0,3
0,0.0,15,4,1,0,626.0,556.625,624,556,6,3,8,0.2667,30.25,32.0,1.353,1.353,0.451,1.353,1.0,3
0,0.0,16,4,1,0,609.5,564.0,609,563,2,3,4,0.2583,30.25,31.0,0.0,0.0,0.0,0.0,0.0,3
0,0.0,17,4,1,0,613.5,563.0,612,562,4,3,10,0.2667,30.6,32.0,0.167,0.167,0.056,0.167,1.0,3
0,0.0,18,13,1,1,584.157,575.495,559,564,49,26,204,0.3,32.475,36.0,92.168,89.815,5.12,25.741,0.9745,18
0,0.0,19,27,1,0,1397.146,580.38,1375,578,47,6,158,0.3417,34.449,41.0,21.768,5.896,0.837,5.091,0.2708,26
0,0.0,20,101,1,0,1174.5,589.25,1171,589,9,2,12,0.2667,30.5,32.0,839.973,106.906,7.924,77.941,0.1273,106
0,0.0,21,6,1,1,1181.5,589.0,1181,589,2,1,2,0.25,30.0,30.0,67.279,66.29,13.456,61.211,0.9853,5
0,0.0,22,19,1,1,539.266,601.145,518,590,43,23,282,0.4167,38.117,50.0,222.868,93.296,8.254,73.143,0.4186,27
0,0.0,23,74,1,1,836.532,599.247,832,595,10,9,77,0.8333,57.325,100.0,247.261,196.467,3.091,42.636,0.7946,80
0,0.0,24,6,1,0,510.364,612.273,508,611,6,3,11,0.2583,30.182,31.0,0.666,0.666,0.133,0.666,1.0,5
0,0.0,25,16,1,0,471.538,613.692,468,613,9,3,13,0.2667,30.615,32.0,7.808,1.551,0.521,3.078,0.1986,15
0,0.0,26,155,1,0,490.5,613.0,488,613,6,1,6,0.25,30.0,30.0,346.248,50.962,2.086,18.419,0.1472,166
0,0.0,27,27,1,1,443.5,615.0,442,615,4,1,4,0.25,30.0,30.0,54.787,51.539,2.029,26.261,0.9407,27
0,0.0,28,21,1,0,175.0,621.0,169,621,13,1,13,0.2667,31.154,32.0,11.138,3.0,0.53,4.148,0.2693,21
0,0.0,29,4,1,0,93.0,623.0,92,623,3,1,3,0.25,30.0,30.0,0.0,0.0,0.0,0.0,0.0,3
0,0.0,30,19,1,1,97.5,623.0,96,623,4,1,4,0.25,30.0,30.0,79.286,72.507,3.049,12.639,0.9145,26
0,0.0,31,17,1,0,102.5,623.0,102,623,2,1,2,0.25,30.0,30.0,36.065,11.0,2.121,23.521,0.305,17
0,0.0,32,80,1,1,841.232,642.122,838,636,8,13,82,0.8667,56.354,104.0,796.279,332.509,8.947,35.145,0.4176,89
