track_id,valid_flying_track,confirmed,active_at_end,lifetime_frames,first_frame,last_frame,frame_span,start_cx,start_cy,end_cx,end_cy,path_length_px,net_displacement_px,mean_speed_px_frame,max_step_speed_px_frame,directionality
401,1,1,1,111,668,888,220,130.098,773.953,909.5,432.875,1701.149,850.765,7.732,38.301,0.5001
173,1,1,0,107,242,454,212,1112.435,432.891,1158.553,932.353,2032.825,501.586,9.589,73.767,0.2467
133,1,1,0,91,167,347,180,714.286,469.429,514.903,932.006,1319.992,503.718,7.333,32.903,0.3816
357,1,1,0,84,576,739,163,934.2,490.0,5.078,710.7,1405.708,954.975,8.624,33.523,0.6794
428,1,1,1,81,732,889,157,850.333,430.333,738.583,731.673,936.427,321.393,5.965,17.406,0.3432
80,1,1,0,80,94,260,166,673.385,531.974,522.526,934.842,1676.664,430.187,10.1,42.698,0.2566
81,1,1,0,78,96,245,149,665.844,493.948,343.183,933.155,983.203,544.989,6.599,34.273,0.5543
297,1,1,0,75,470,625,155,1120.897,391.759,678.652,430.391,891.376,443.929,5.751,26.638,0.498
242,1,1,0,74,369,528,159,954.125,531.375,1119.556,461.639,855.071,179.528,5.378,16.781,0.21
205,1,1,0,73,311,457,146,680.561,438.263,72.887,759.735,1473.19,687.468,10.09,56.546,0.4667
74,1,1,0,72,89,244,155,957.273,525.455,678.25,446.083,838.781,290.092,5.411,36.069,0.3458
171,1,1,0,72,240,381,141,664.652,469.348,23.254,646.856,1287.616,665.508,9.132,45.043,0.5169
443,1,1,1,71,752,889,137,1002.931,731.192,782.438,314.688,1631.852,471.268,11.911,80.639,0.2888
341,1,1,0,70,556,708,152,1388.928,490.027,957.618,527.794,770.26,432.961,5.067,50.305,0.5621
430,1,1,0,69,743,876,133,1100.125,440.625,671.857,468.929,513.854,429.202,3.864,12.576,0.8353
65,1,1,0,67,82,211,129,957.364,507.909,11.876,703.785,1318.576,965.565,10.222,46.437,0.7323
409,1,1,0,66,682,809,127,1136.105,513.974,37.797,929.747,1349.839,1174.371,10.629,54.076,0.87
276,1,1,0,65,435,584,149,418.625,750.333,967.333,531.333,939.202,590.798,6.303,37.892,0.629
450,1,1,1,64,772,889,117,667.722,497.389,24.97,679.221,1162.384,667.977,9.935,44.178,0.5747
284,1,1,0,63,445,573,128,805.667,472.267,667.034,478.931,620.003,138.792,4.844,17.352,0.2239
260,1,1,0,62,403,532,129,882.542,732.583,596.2,835.6,854.364,304.309,6.623,19.446,0.3562
367,1,1,0,62,592,710,118,1136.067,478.917,175.874,931.548,1169.152,1061.529,9.908,35.91,0.9079
107,1,1,0,60,125,247,122,669.69,485.379,13.947,676.87,1215.089,683.13,9.96,44.595,0.5622
387,1,1,0,56,630,739,109,674.727,556.727,7.779,808.061,1086.248,712.734,9.966,30.953,0.6561
454,1,1,1,56,775,888,113,9.705,667.979,912.333,475.111,1150.52,923.003,10.182,38.106,0.8022
90,1,1,0,55,104,211,107,706.543,558.022,14.443,807.635,1131.672,735.738,10.576,50.171,0.6501
287,1,1,0,54,447,552,105,693.434,575.057,405.678,932.558,1053.631,458.924,10.035,32.049,0.4356
414,1,1,0,54,704,804,100,957.625,526.625,222.394,770.377,986.481,774.584,9.865,61.669,0.7852
86,1,1,0,53,99,203,104,1396.861,616.542,1126.286,455.429,1193.982,314.91,11.481,58.926,0.2637
64,1,1,0,50,82,183,101,1013.333,440.333,667.368,500.737,620.927,351.198,6.148,24.192,0.5656
459,1,1,1,50,777,889,112,48.447,737.974,1016.8,523.4,1168.379,991.841,10.432,50.249,0.8489
22,1,1,0,49,6,101,95,1377.895,817.956,1114.733,465.833,1081.506,439.595,11.384,35.898,0.4065
268,1,1,0,49,417,510,93,7.544,668.819,1124.231,455.308,1206.409,1136.916,12.972,49.498,0.9424
212,1,1,0,48,319,431,112,276.354,674.488,1131.839,492.774,1139.67,874.571,10.176,33.17,0.7674
213,1,1,0,48,324,427,103,969.273,480.455,699.624,448.437,697.273,271.543,6.77,15.469,0.3894
290,1,1,0,47,451,566,115,969.333,532.333,1008.8,529.4,234.215,39.576,2.037,20.88,0.169
420,1,1,0,47,718,823,105,1128.821,515.4,681.209,484.186,949.741,448.699,9.045,24.368,0.4724
76,1,1,0,45,92,191,99,737.333,509.333,862.833,424.833,385.969,151.296,3.899,15.565,0.392
228,1,1,0,44,344,429,85,678.2,457.167,1117.652,454.348,455.624,439.461,5.36,14.08,0.9645
279,1,1,0,44,439,522,83,742.6,539.067,1120.85,461.1,425.342,386.202,5.125,11.47,0.908
381,1,1,0,44,619,700,81,985.333,602.333,197.442,808.431,925.648,814.401,11.428,39.281,0.8798
254,1,1,0,43,392,480,88,1420.072,630.006,1020.167,530.458,1261.031,412.11,14.33,52.297,0.3268
413,1,1,0,42,700,793,93,1017.643,519.643,671.333,496.333,394.227,347.093,4.239,13.437,0.8804
419,1,1,0,42,718,793,75,1127.071,477.527,669.857,462.929,459.155,457.447,6.122,20.355,0.9963
119,1,1,0,39,150,233,83,1006.857,522.429,356.952,892.032,879.628,747.652,10.598,49.611,0.85
239,1,1,0,39,357,447,90,667.69,545.621,1244.555,929.044,1081.871,692.666,12.021,70.762,0.6402
393,1,1,0,39,652,741,89,996.429,328.095,944.25,319.917,158.245,52.816,1.778,25.987,0.3338
415,1,1,0,39,704,789,85,311.435,783.87,959.25,580.625,805.782,678.95,9.48,24.986,0.8426
203,1,1,0,38,310,393,83,674.538,520.154,958.429,446.286,400.109,293.343,4.821,10.14,0.7332
182,1,1,0,37,251,327,76,843.853,599.382,672.021,891.986,396.235,339.327,5.214,16.499,0.8564
233,1,1,0,37,355,427,72,947.0,499.267,669.404,547.135,535.788,281.693,7.441,26.503,0.5258
358,1,1,0,37,576,660,84,1014.882,534.941,953.688,531.438,166.593,61.295,1.983,24.922,0.3679
100,1,1,0,36,119,187,68,1113.692,372.0,684.854,390.854,432.658,429.253,6.363,11.94,0.9921
264,1,1,0,36,409,494,85,955.4,525.8,1041.95,618.85,288.615,127.08,3.395,22.905,0.4403
331,1,1,0,36,536,614,78,108.021,602.829,670.12,517.8,977.546,568.493,12.533,46.141,0.5816
353,1,1,0,36,572,642,70,979.072,490.275,1109.7,408.5,425.036,154.113,6.072,21.076,0.3626
463,1,1,1,36,799,889,90,1093.8,499.4,1014.333,521.333,461.233,82.438,5.125,48.508,0.1787
126,1,1,0,35,159,242,83,771.875,464.875,691.556,552.111,259.877,118.581,3.131,12.913,0.4563
150,1,1,0,35,203,270,67,877.8,427.4,1117.909,430.182,244.798,240.125,3.654,9.156,0.9809
238,1,1,0,34,357,425,68,665.533,495.95,9.67,734.931,850.804,698.046,12.512,43.937,0.8205
30,1,1,0,33,26,94,68,1120.0,336.655,837.7,154.35,338.787,336.048,4.982,17.4,0.9919
106,1,1,0,33,125,189,64,668.452,462.476,1129.0,457.92,471.562,460.57,7.368,14.419,0.9767
197,1,1,0,33,296,361,65,726.346,529.308,887.05,669.35,378.377,213.161,5.821,17.347,0.5634
296,1,1,0,33,465,530,65,673.829,507.0,1131.8,477.4,460.505,458.927,7.085,13.827,0.9966
301,1,1,0,33,474,550,76,1016.628,532.047,855.487,545.538,255.821,161.705,3.366,22.625,0.6321
190,1,1,0,32,272,349,77,1014.333,524.333,1136.243,562.135,319.327,127.636,4.147,32.061,0.3997
204,1,1,0,32,310,381,71,8.981,647.222,1064.286,466.429,1117.706,1070.679,15.742,43.44,0.9579
258,1,1,0,32,399,459,60,17.187,586.213,699.925,477.806,729.027,691.291,12.15,26.112,0.9482
356,1,1,0,32,573,630,57,956.615,536.0,1130.8,540.4,335.521,174.24,5.886,46.105,0.5193
398,1,1,0,32,662,735,73,669.333,511.333,1100.364,435.909,479.469,437.58,6.568,14.67,0.9126
116,1,1,0,31,145,209,64,1117.5,436.6,688.043,490.304,439.711,432.801,6.87,14.142,0.9843
214,1,1,0,31,324,397,73,1015.432,528.25,926.808,513.154,176.587,89.901,2.419,18.959,0.5091
217,1,1,0,31,327,397,70,776.103,498.034,977.173,527.404,401.309,203.203,5.733,19.432,0.5064
285,1,1,0,31,445,510,65,1093.449,519.319,675.333,500.333,478.58,418.547,7.363,15.355,0.8746
128,1,1,0,29,159,217,58,905.485,699.333,688.667,429.806,522.829,345.912,9.014,23.164,0.6616
359,1,1,0,29,578,632,54,1016.833,527.333,1137.111,479.778,205.196,129.338,3.8,15.535,0.6303
407,1,1,0,29,680,733,53,1137.875,476.875,955.267,533.067,207.41,191.058,3.913,11.26,0.9212
451,1,1,0,29,772,832,60,668.757,540.216,835.378,702.2,344.641,232.382,5.744,11.761,0.6743
378,1,1,0,28,614,668,54,670.5,530.778,813.5,460.8,172.51,159.204,3.195,7.777,0.9229
21,1,1,0,27,6,65,59,1005.364,524.909,1030.364,444.909,332.449,83.815,5.635,23.936,0.2521
127,1,1,0,27,159,225,66,1243.769,675.462,791.0,532.2,585.359,474.894,8.869,35.81,0.8113
174,1,1,0,27,242,299,57,672.333,497.333,964.333,534.333,295.788,294.335,5.189,11.102,0.9951
215,1,1,0,27,324,379,55,956.125,561.833,79.787,711.355,894.263,889.002,16.259,44.435,0.9941
26,1,1,0,26,14,65,51,888.667,563.333,913.241,487.69,374.375,79.535,7.341,29.195,0.2124
453,1,1,0,26,775,825,50,1121.519,521.741,968.149,527.284,431.37,153.469,8.627,30.532,0.3558
6,1,1,0,25,0,46,46,833.593,501.61,667.368,488.553,181.425,166.737,3.944,10.558,0.919
18,1,1,0,25,4,56,52,1286.03,801.182,564.723,402.585,859.491,824.113,16.529,37.837,0.9588
92,1,1,0,25,109,159,50,942.333,432.111,731.125,465.625,235.549,213.851,4.711,12.099,0.9079
109,1,1,0,25,129,179,50,861.19,458.952,682.234,454.281,191.461,179.017,3.829,9.451,0.935
181,1,1,0,25,249,311,62,958.4,536.8,1011.111,533.089,155.032,52.842,2.501,51.292,0.3408
369,1,1,0,25,592,642,50,854.533,832.372,433.371,709.966,1179.704,438.59,23.594,89.422,0.3718
46,1,1,0,24,54,109,55,957.333,538.333,822.359,853.598,1113.447,342.943,20.244,52.613,0.308
194,1,1,0,24,291,344,53,675.0,455.714,1117.75,437.4,443.615,443.129,8.37,15.245,0.9989
227,1,1,0,24,341,386,45,670.778,496.444,1044.769,532.462,450.082,375.722,10.002,69.376,0.8348
396,1,1,0,24,654,706,52,1012.9,523.4,964.4,528.8,100.038,48.8,1.924,22.159,0.4878
134,1,1,0,23,168,217,49,951.667,465.917,664.722,492.833,329.075,288.204,6.716,12.026,0.8758
470,1,1,0,23,809,864,55,1058.333,489.333,713.333,494.333,350.715,345.036,6.377,13.042,0.9838
480,1,1,0,23,832,871,39,678.364,432.909,1119.185,445.58,443.46,441.004,11.371,20.721,0.9945
40,1,1,0,22,44,89,45,692.571,402.607,1125.769,469.462,456.757,438.326,10.15,25.349,0.9596
78,1,1,0,22,94,135,41,670.593,475.39,1115.0,452.457,445.486,444.998,10.866,18.69,0.9989
198,1,1,0,22,305,353,48,675.909,413.909,1118.364,580.455,510.34,472.761,10.632,61.988,0.9264
219,1,1,0,22,335,389,54,819.476,430.619,1118.0,354.0,311.588,308.2,5.77,9.983,0.9891
273,1,1,0,22,425,472,47,1055.333,517.333,897.274,494.884,311.295,159.646,6.623,15.413,0.5128
278,1,1,0,22,437,484,47,466.714,879.107,889.333,705.333,466.245,456.951,9.92,21.896,0.9801
324,1,1,0,22,526,569,43,1423.222,591.097,267.151,654.957,1160.133,1157.834,26.98,51.442,0.998
445,1,1,0,22,764,821,57,1006.364,524.909,702.419,530.484,370.51,303.995,6.5,20.381,0.8205
85,1,1,0,21,98,154,56,1008.333,519.333,783.125,468.75,273.713,230.819,4.888,21.208,0.8433
172,1,1,0,21,240,291,51,957.133,523.267,674.467,496.767,342.335,283.906,6.712,34.545,0.8293
241,1,1,0,21,367,413,46,738.8,681.4,338.756,916.344,494.955,463.934,10.76,22.424,0.9373
320,1,1,0,21,508,558,50,1009.789,529.158,957.333,535.333,105.603,52.818,2.112,26.64,0.5002
349,1,1,0,21,566,604,38,673.727,369.869,1118.548,411.29,456.572,446.746,12.015,23.263,0.9785
55,1,1,0,20,64,109,45,971.176,514.118,671.889,396.844,352.115,321.444,7.825,14.709,0.9129
302,1,1,0,20,476,514,38,716.0,458.455,665.278,475.389,58.29,53.474,1.534,4.291,0.9174
319,1,1,0,20,508,546,38,1034.333,194.178,674.286,400.5,421.854,414.974,11.101,20.43,0.9837
335,1,1,0,20,544,590,46,941.595,331.324,1005.25,333.893,108.143,63.707,2.351,9.535,0.5891
487,1,1,1,20,849,886,37,745.95,697.95,118.724,751.172,632.056,629.48,17.083,40.423,0.9959
42,1,1,0,19,46,84,38,1130.333,464.333,978.467,443.8,382.094,153.248,10.055,27.353,0.4011
256,1,1,0,19,392,427,35,1173.326,817.789,488.5,907.0,877.071,690.612,25.059,76.571,0.7874
303,1,1,0,19,479,520,41,1003.788,454.545,674.4,492.667,334.311,331.586,8.154,20.074,0.9919
304,1,1,0,19,482,524,42,1020.333,534.333,1133.812,499.188,145.796,118.797,3.471,27.126,0.8148
384,1,1,0,19,623,658,35,654.857,768.0,13.474,819.588,714.887,643.454,20.425,47.049,0.9001
388,1,1,0,19,632,666,34,1105.421,478.544,667.667,466.0,439.644,437.934,12.931,27.374,0.9961
466,1,1,0,19,804,853,49,1007.719,324.844,946.333,331.333,96.376,61.727,1.967,13.509,0.6405
467,1,1,0,19,804,849,45,967.0,528.375,1015.857,524.5,171.441,49.011,3.81,14.027,0.2859
207,1,1,0,18,313,351,38,1011.305,532.186,909.892,566.789,157.971,107.154,4.157,29.644,0.6783
482,1,1,0,18,832,870,38,680.636,605.386,1041.5,471.875,449.462,384.77,11.828,19.898,0.8561
34,1,1,0,17,34,74,40,75.444,721.6,1021.895,470.421,1055.327,979.213,26.383,50.944,0.9279
368,1,1,0,17,592,626,34,1140.023,524.535,812.207,682.983,369.34,364.101,10.863,42.287,0.9858
394,1,1,0,17,652,683,31,1120.022,482.789,672.431,470.938,448.331,447.748,14.462,27.488,0.9987
395,1,1,0,17,652,683,31,1123.446,531.27,679.44,565.44,446.952,445.319,14.418,25.925,0.9963
424,1,1,0,17,726,783,57,994.5,325.3,944.333,328.333,90.481,50.258,1.587,9.125,0.5555
10,1,1,0,16,0,28,28,833.298,548.894,1005.333,522.333,181.956,174.074,6.498,23.887,0.9567
24,1,1,0,16,11,46,35,837.853,594.382,673.208,549.5,182.35,170.652,5.21,10.384,0.9359
31,1,1,0,16,26,65,39,955.25,534.625,827.367,593.5,495.389,140.785,12.702,28.617,0.2842
82,1,1,0,16,96,127,31,692.0,529.159,877.727,458.182,235.116,198.827,7.584,41.907,0.8457
110,1,1,0,16,129,167,38,684.02,593.571,847.909,485.909,196.648,196.088,5.175,15.762,0.9972
161,1,1,0,16,225,255,30,1122.692,449.0,1088.333,477.333,290.159,44.534,9.672,34.651,0.1535
389,1,1,0,16,632,666,34,1109.219,540.562,1008.8,520.4,266.126,102.423,7.827,22.119,0.3849
479,1,1,0,16,829,873,44,1012.489,522.756,1140.5,538.0,206.768,128.916,4.699,12.753,0.6235
248,1,1,0,15,385,419,34,721.4,684.8,13.756,808.725,722.782,718.413,21.258,59.289,0.994
20,1,1,0,14,6,38,32,1009.286,518.714,953.615,525.385,86.28,56.069,2.696,52.187,0.6498
32,1,1,0,14,28,56,28,1007.963,510.37,1061.172,476.448,198.13,63.103,7.076,13.914,0.3185
35,1,1,0,14,38,65,27,32.563,688.215,738.317,553.341,720.979,718.526,26.703,71.85,0.9966
57,1,1,0,14,72,98,26,758.333,541.333,669.464,460.911,140.118,119.856,5.389,14.135,0.8554
237,1,1,0,14,357,386,29,673.778,490.5,953.333,526.333,304.763,281.843,10.509,58.137,0.9248
288,1,1,0,14,449,476,27,1125.786,455.643,999.917,649.694,288.995,231.299,10.704,61.577,0.8004
308,1,1,0,14,488,520,32,994.333,520.083,677.85,528.95,337.784,316.608,10.556,20.99,0.9373
380,1,1,0,14,619,644,25,962.8,540.4,1006.0,526.286,95.653,45.447,3.826,15.666,0.4751
403,1,1,0,14,676,706,30,1005.8,324.4,945.118,320.529,118.016,60.806,3.934,29.929,0.5152
137,1,1,0,13,177,209,32,993.778,471.444,856.969,516.594,275.069,144.067,8.596,18.16,0.5237
140,1,1,0,13,179,203,24,961.857,536.19,1131.964,519.964,175.663,170.879,7.319,14.398,0.9728
186,1,1,0,13,264,299,35,957.894,529.106,1008.923,529.308,97.654,51.03,2.79,13.922,0.5226
336,1,1,0,13,544,569,25,1134.286,496.429,988.733,489.667,232.276,145.709,9.291,49.072,0.6273
376,1,1,0,13,612,642,30,1158.667,747.044,405.062,854.229,787.656,761.188,26.255,42.282,0.9664
391,1,1,0,13,644,666,22,942.917,560.167,676.191,595.532,269.899,269.06,12.268,24.675,0.9969
412,1,1,0,13,694,724,30,995.8,323.6,951.128,316.915,69.692,45.17,2.323,43.912,0.6481
426,1,1,0,13,730,754,24,958.8,523.4,1005.833,524.083,86.439,47.038,3.602,42.747,0.5442
48,1,1,0,12,56,89,33,837.7,559.6,1127.769,498.462,303.612,296.442,9.2,21.434,0.9764
53,1,1,0,12,62,84,22,608.497,368.694,353.974,662.279,431.758,388.554,19.625,57.871,0.8999
91,1,1,0,12,104,125,21,1194.971,759.61,757.868,705.679,460.49,440.418,21.928,58.031,0.9564
196,1,1,0,12,296,321,25,716.486,493.081,1012.722,528.611,307.727,298.359,12.309,49.735,0.9696
261,1,1,0,12,405,429,24,940.333,333.333,991.333,333.333,64.159,51.0,2.673,19.933,0.7949
298,1,1,0,12,472,510,38,1118.538,540.154,844.364,476.545,291.043,281.457,7.659,21.258,0.9671
3,1,1,0,11,0,19,19,1330.932,337.89,1011.6,519.6,372.394,367.412,19.6,36.262,0.9866
33,1,1,0,11,34,54,20,71.859,637.128,545.843,418.066,533.354,522.158,26.668,58.449,0.979
143,1,1,0,11,187,209,22,962.364,537.545,1006.8,522.933,100.897,46.777,4.586,23.243,0.4636
170,1,1,0,11,238,257,19,749.171,260.062,1415.841,175.557,680.195,672.004,35.8,67.471,0.988
178,1,1,0,11,244,278,34,958.839,323.161,1007.917,326.833,74.774,49.215,2.199,11.596,0.6582
189,1,1,0,11,272,295,23,964.9,524.7,1010.333,529.333,79.749,45.669,3.467,11.003,0.5727
