frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
0,0.0,1,153,1,0,943.496,317.624,931,310,26,16,250,1.0,75.72,185.0,28.982,7.891,0.186,2.386,0.2723,156
0,0.0,2,153,1,0,996.667,318.955,990,314,16,12,132,1.0,111.258,223.0,26.616,5.853,0.171,1.583,0.2199,156
0,0.0,3,47,1,1,1330.441,337.245,1319,331,25,14,245,1.0,103.327,236.0,832.205,564.662,14.348,71.812,0.6785,58
0,0.0,4,96,1,1,1104.627,416.597,1098,412,15,12,67,0.4722,22.463,34.0,430.294,375.167,4.529,82.138,0.8719,95
0,0.0,5,2,0,0,874.2,427.6,873,427,3,2,5,0.2778,19.0,20.0,0.0,0.0,0.0,0.0,0.0,1
0,0.0,6,17,1,0,877.143,428.571,875,427,5,5,7,0.2639,18.286,19.0,3.466,2.998,0.217,1.989,0.8649,16
0,0.0,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
0,0.0,8,36,1,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0,60.172,54.539,1.337,11.505,0.9064,45
0,0.0,9,49,1,0,803.0,441.143,800,441,7,2,7,0.2639,18.857,19.0,40.867,7.019,0.834,8.494,0.1717,49
0,0.0,10,65,1,1,808.333,440.333,808,440,2,2,3,0.2639,18.333,19.0,123.379,76.816,1.645,21.869,0.6226,75
0,0.0,11,4,1,0,720.098,449.16,711,444,25,12,163,1.0,49.926,194.0,9.327,9.301,3.109,7.243,0.9973,3
0,0.0,12,4,1,0,674.688,452.957,665,449,24,10,93,0.3611,21.108,26.0,0.566,0.265,0.189,0.281,0.4675,3
0,0.0,13,23,1,1,720.567,494.45,716,492,12,7,60,0.9028,39.917,65.0,70.073,64.313,2.803,24.164,0.9178,25
0,0.0,14,46,1,1,832.978,500.591,828,495,11,12,93,1.0,72.183,181.0,167.138,154.666,3.714,22.444,0.9254,45
0,0.0,15,1,0,0,955.5,513.0,955,513,2,1,2,0.25,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,16,153,1,0,1006.946,517.518,1001,513,14,11,112,1.0,64.205,119.0,69.075,5.386,0.443,3.852,0.078,156
0,0.0,17,89,1,1,955.709,521.815,950,515,15,19,151,1.0,58.914,136.0,665.962,176.725,7.483,37.876,0.2654,89
0,0.0,18,1,0,0,1122.831,520.864,1118,518,10,7,59,1.0,51.203,99.0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,19,65,1,0,832.244,547.856,826,544,14,8,90,1.0,45.167,87.0,357.721,26.169,5.339,24.629,0.0732,67
0,0.0,20,6,1,1,836.148,599.296,830,594,12,11,108,1.0,47.444,100.0,22.527,22.22,4.505,13.805,0.9864,5
0,0.0,21,1,0,0,232.438,620.0,215,619,34,3,64,0.3056,20.062,22.0,0.0,0.0,0.0,0.0,0.0,0
