frame,time_s,track_id,track_lifetime_frames,confirmed,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff
0,0.0,1,807,1,943.496,317.624,931,310,26,16,250,1.0,75.72,185.0
0,0.0,2,890,1,996.667,318.955,990,314,16,12,132,1.0,111.258,223.0
0,0.0,3,47,1,1330.441,337.245,1319,331,25,14,245,1.0,103.327,236.0
0,0.0,4,96,1,1104.627,416.597,1098,412,15,12,67,0.4722,22.463,34.0
0,0.0,5,2,0,874.2,427.6,873,427,3,2,5,0.2778,19.0,20.0
0,0.0,6,17,1,877.143,428.571,875,427,5,5,7,0.2639,18.286,19.0
0,0.0,7,15,1,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0
0,0.0,8,36,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0
0,0.0,9,49,1,803.0,441.143,800,441,7,2,7,0.2639,18.857,19.0
0,0.0,10,65,1,808.333,440.333,808,440,2,2,3,0.2639,18.333,19.0
0,0.0,11,4,1,720.098,449.16,711,444,25,12,163,1.0,49.926,194.0
0,0.0,12,4,1,674.688,452.957,665,449,24,10,93,0.3611,21.108,26.0
0,0.0,13,23,1,720.567,494.45,716,492,12,7,60,0.9028,39.917,65.0
0,0.0,14,46,1,832.978,500.591,828,495,11,12,93,1.0,72.183,181.0
0,0.0,15,1,0,955.5,513.0,955,513,2,1,2,0.25,18.0,18.0
0,0.0,16,258,1,1006.946,517.518,1001,513,14,11,112,1.0,64.205,119.0
0,0.0,17,89,1,955.709,521.815,950,515,15,19,151,1.0,58.914,136.0
0,0.0,18,1,0,1122.831,520.864,1118,518,10,7,59,1.0,51.203,99.0
0,0.0,19,65,1,832.244,547.856,826,544,14,8,90,1.0,45.167,87.0
0,0.0,20,6,1,836.148,599.296,830,594,12,11,108,1.0,47.444,100.0
0,0.0,21,1,0,232.438,620.0,215,619,34,3,64,0.3056,20.062,22.0
0,0.0,22,4,1,265.25,619.75,264,619,3,2,4,0.25,18.0,18.0
0,0.0,23,1,0,212.5,621.0,212,621,2,1,2,0.25,18.0,18.0
0,0.0,24,1,0,4.0,625.5,0,624,9,4,24,0.3333,20.042,24.0
0,0.0,25,1,0,13.643,624.643,11,624,7,3,14,0.3056,19.357,22.0
0,0.0,26,51,1,841.538,641.849,837,635,11,15,119,1.0,46.202,104.0
0,0.0,27,102,1,1358.071,829.0,1356,828,5,4,14,0.3194,20.143,23.0
1,0.0333,1,807,1,943.282,317.072,931,309,26,17,277,1.0,74.78,191.0
1,0.0333,2,890,1,996.878,318.612,990,313,16,12,139,1.0,113.281,224.0
1,0.0333,3,47,1,1310.097,346.745,1296,340,31,15,278,1.0,94.939,236.0
1,0.0333,4,96,1,1105.26,415.94,1100,413,13,7,50,0.4861,22.88,35.0
1,0.0333,5,2,0,874.2,427.6,873,427,3,2,5,0.2778,19.0,20.0
1,0.0333,6,17,1,877.143,428.571,875,427,5,5,7,0.2639,18.286,19.0
1,0.0333,7,15,1,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0
1,0.0333,8,36,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0
1,0.0333,9,49,1,803.5,438.0,803,438,2,1,2,0.25,18.0,18.0
1,0.0333,10,65,1,806.633,441.3,800,439,13,5,30,0.2778,18.833,20.0
1,0.0333,11,4,1,712.856,449.099,699,444,37,12,222,1.0,46.446,209.0
1,0.0333,12,4,1,674.559,452.925,665,448,23,11,93,0.3889,21.215,28.0
1,0.0333,13,23,1,707.647,494.824,704,492,8,7,51,1.0,52.627,104.0
1,0.0333,14,46,1,834.29,502.097,831,500,7,6,31,0.6944,31.806,50.0
1,0.0333,16,258,1,1007.179,517.137,1000,513,16,11,117,1.0,68.641,128.0
1,0.0333,17,89,1,955.99,522.307,950,513,16,23,192,1.0,66.432,171.0
1,0.0333,19,65,1,841.419,546.023,836,542,12,9,86,1.0,77.43,183.0
1,0.0333,20,6,1,842.189,593.315,836,588,13,11,111,1.0,47.703,102.0
1,0.0333,22,4,1,265.25,619.75,264,619,3,2,4,0.25,18.0,18.0
1,0.0333,26,51,1,842.031,632.094,839,630,7,6,32,0.5556,26.594,40.0
1,0.0333,27,102,1,1335.947,823.947,1333,822,7,5,19,0.3333,21.684,24.0
1,0.0333,28,9,1,1100.429,421.286,1098,421,5,2,7,0.2639,18.429,19.0
1,0.0333,29,16,1,869.5,429.0,868,428,4,3,4,0.2778,18.5,20.0
1,0.0333,30,29,1,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0
1,0.0333,31,2,0,812.5,441.0,812,441,2,1,2,0.25,18.0,18.0
1,0.0333,32,22,1,693.0,451.4,691,451,5,2,5,0.25,18.0,18.0
2,0.0667,1,807,1,943.293,317.043,931,310,26,16,276,1.0,74.862,190.0
2,0.0667,2,890,1,996.878,318.612,990,313,16,12,139,1.0,113.273,224.0
2,0.0667,3,47,1,1310.215,346.703,1296,340,31,15,279,1.0,94.462,235.0
2,0.0667,4,96,1,1105.286,415.878,1100,413,13,7,49,0.4861,23.041,35.0
2,0.0667,6,17,1,875.923,428.385,874,427,6,5,13,0.2778,18.538,20.0
2,0.0667,7,15,1,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0
2,0.0667,8,36,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0
2,0.0667,10,65,1,807.152,441.212,800,439,13,5,33,0.2778,18.788,20.0
2,0.0667,11,4,1,712.641,449.105,699,444,36,12,220,1.0,46.677,210.0
